"created_at","full_text","id","user/created_at","user/name"
"2023-04-29T08:16:38.000Z","Akhirnya Jokowi izinkan ekspor konsentrat Freeport.
.
Sudah kuduga.
Tabrak UU. Kalah dilobi pengusaha.
.
Bisa jadi Pintu masuk pemakzulan.
.
⁦@PKSejahtera⁩ ⁦@FPKSDPRRI⁩  https://t.co/wz862rEF7J","1652225363064528897","2017-12-09T03:06:22.000Z","Mulyanto"
"2023-04-28T03:28:17.000Z","China lagi. China lagi.

Makelarnya, dia lagi. Dia lagi.
https://t.co/Ck6S4rgc82","1651790412494016512","2022-03-13T01:43:06.000Z","Dokter Tifa"
"2023-04-24T02:51:50.000Z","Ratusan ""manusia"" turun di bandara Halim, lgs  masuk Kereta Cepat, turunkan di  titik2  yg dilewati, mentok di Padalarang. Sebar di sana, bikinin KTP, beranak pinak.

Stlh 10 tahun, orang Indo IQ 78 trs aja melongo2 sambil nungguin  IKN yg ga jadi2. 

https://t.co/MGmoPPn6l0","1650331686465605633","2022-03-13T01:43:06.000Z","Dokter Tifa"
"2023-04-24T01:32:56.000Z","Tidak adakah  yg  terpikir kenapa 
Pembangunan masif dan gila2an arah Jakarta - Jabar?

Trayek Kereta Cepat ke Padalarang?
Tol  Cisumdawu 1 -2- 3 ke Sumedang?
Bandara Kertajati di Majalengka?

Belum lagi reklamasi 17 pulau Utara Jakarta-Banten.

Hipnotis semua pikiran  ke IKN.","1650311833067352064","2022-03-13T01:43:06.000Z","Dokter Tifa"
"2023-04-30T01:06:52.000Z","Proyek Radikal Radikul Untuk Mengatasi isu:
1. 349 T di @KemenkeuRI 
2. Bandara Yang Jadi Tempat Foto Prawedding
3. Kereta Cepat Yang Gunakan APBN
4. Bangun Infrastruktur Untuk Ajang Korupsi
5. IKN Yang Over Subscribe
6. Subsidi Es Doger 71 M
7. Mobil Super Sonic Esemka
8. DLL
😜","1652479597123076101","2022-03-16T15:26:16.000Z","Nicho Silalahi"
"2023-04-14T10:56:14.000Z","Ini bisnis pribadi atas nama negara.
Dan rakyat seluruh Indonesia disuruh menanggung hutangnya sampai 7 turunan.

Itulah kenapa saya sangat menentang IKN, Karena jelas sama modusnya.
Sementara  kerugian negara dan rakyat  bakal 1.000 kali lebih parah.

https://t.co/J2pD0f7lRX","1646829713258848257","2022-03-13T01:43:06.000Z","Dokter Tifa"
"2023-04-13T02:49:12.000Z","Saya ngeri membayangkan, kengototan  pembangunan IKN ini krn iming2 setengah pemaksaan dari negara  yg kasih hutang dg bunga mencekik leher buat bikin Kereta cepat.

Bong, Bong kalian ini kapan sadarnya. 

https://t.co/qVkVj7B3a1","1646344757512392704","2022-03-13T01:43:06.000Z","Dokter Tifa"
"2023-04-12T23:49:23.000Z","Macet Jakarta?
Biasa saja ah. Sebagai warga KTP Jakarta asli, saya menilai macet Jakarta masih bisa ditoleransi. Ini krn mobilitas tinggi masyarakat jelang Lebaran saja. 

Bukan jadi alasan yg dibikin2 agar Ibukota pindah.

https://t.co/AFF9vDpwTv","1646299507188203520","2022-03-13T01:43:06.000Z","Dokter Tifa"
"2023-04-29T01:50:59.000Z","Jadi ingat ada yg ngomong OVERSUBSCRIBE &amp; Januari 2023 sudah ada gedung-gedung di IKN 
😃😃🤭🤭","1652128312590991363","2021-04-18T11:54:43.000Z","boediantara"
"2023-04-28T05:48:28.000Z","Posisi Utang Pemerintah per akhir Maret 2023: Rp7.879 Triliun. Utang bertambah pada periode 1999-2004: Rp359,5 T (38,2%); 2004-2009: Rp291 T (22,4%); 2009-2014: Rp1.018 T (64%); 2014-2019: Rp2.178 T (83,5%); 2019-Mar 2022: Rp3.092 T (64,6%). Masih akan bertambah hingga akhir 2024 https://t.co/LWs2BenLTO","1651825691317649408","2012-07-26T17:13:57.000Z","Awalil Rizky"
"2023-04-28T13:08:26.000Z","Yang replay kebanyakan para buzzerp bangsat...@KemenkesRI kelakuan kalian menjijikan...demi ambisimu sampai harus nyewa buzzerp....
Kami nggak akan diam...kami akan ""LAWAN""....","1651936410147110912","2019-07-20T22:32:12.000Z","𝕛𝕠𝕛𝕠"
"2023-04-28T10:54:23.000Z","Kasu 349 T masih misteri, Hilang sekejap tampa jejak. Uang dugaan money laundry kok dibiarkan begitu saja. Persoalan substansial ini kallian lupa? Jangan jadi netizen pelupa, ayo viralkan lagi. Kami dukung prof. @mohmahfudmd usut kembali.
Lanjutkan pak. https://t.co/Dw10G9Sl9C","1651902677390082049","2021-10-20T10:33:00.000Z","Timur Matahari"
